Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,BATT,JST_SH_SM02B-SRSS-TB,168.75,-105.25,0.0,bottom
D1,D,Diode_SMD,94.351563,-68.5,0.0,bottom
D10,D,Diode_SMD,128.851525,-85.25,0.0,bottom
D11,D,Diode_SMD,128.851525,-102.25,0.0,bottom
D12,D,Diode_SMD,128.851525,-119.25,0.0,bottom
D13,D,Diode_SMD,145.851525,-68.25,0.0,bottom
D14,D,Diode_SMD,145.851525,-85.25,0.0,bottom
D15,D,Diode_SMD,145.851525,-102.25,0.0,bottom
D16,D,Diode_SMD,145.851525,-119.25,0.0,bottom
D17,D,Diode_SMD,162.851525,-68.25,0.0,bottom
D18,D,Diode_SMD,162.851525,-85.25,0.0,bottom
D19,D,Diode_SMD,162.851525,-102.225,0.0,bottom
D2,D,Diode_SMD,94.351563,-85.25,0.0,bottom
D20,D,Diode_SMD,162.851525,-119.25,0.0,bottom
D21,D,Diode_SMD,179.325,-115.65,0.0,bottom
D22,D,Diode_SMD,179.351525,-118.75,0.0,bottom
D3,D,Diode_SMD,94.351563,-102.25,0.0,bottom
D4,D,Diode_SMD,94.351563,-119.5,0.0,bottom
D5,D,Diode_SMD,111.851525,-68.225,0.0,bottom
D6,D,Diode_SMD,111.851525,-85.25,0.0,bottom
D7,D,Diode_SMD,111.851525,-102.25,0.0,bottom
D8,D,Diode_SMD,111.851525,-119.25,0.0,bottom
D9,D,Diode_SMD,128.851525,-68.225,0.0,bottom
SW1,SW_PUSH,SW_Choc_v2,92.1,-76.225,0.0,bottom
SW10,SW_PUSH,SW_Choc_v2,126.1,-93.225,0.0,bottom
SW11,SW_PUSH,SW_Choc_v2,126.1,-110.225,0.0,bottom
SW12,SW_PUSH,SW_Choc_v2,126.1,-127.225,0.0,bottom
SW13,SW_PUSH,SW_Choc_v2,143.1,-76.225,0.0,bottom
SW14,SW_PUSH,SW_Choc_v2,143.1,-93.225,0.0,bottom
SW15,SW_PUSH,SW_Choc_v2,143.1,-110.225,0.0,bottom
SW16,SW_PUSH,SW_Choc_v2,143.09,-127.21,0.0,bottom
SW17,SW_PUSH,SW_Choc_v2,160.1,-76.225,0.0,bottom
SW18,SW_PUSH,SW_Choc_v2,160.1,-93.225,0.0,bottom
SW19,SW_PUSH,SW_Choc_v2,160.1,-110.225,0.0,bottom
SW2,SW_PUSH,SW_Choc_v2,92.1,-93.225,0.0,bottom
SW20,SW_PUSH,SW_Choc_v2,160.1,-127.225,0.0,bottom
SW22,SW_PUSH,SW_Choc_v2,177.1,-127.225,0.0,bottom
SW24,SW_SPDT,TGSW_MSK-12D19,189.45,-101.55,-90.0,bottom
SW3,SW_PUSH,SW_Choc_v2,92.1,-110.2,0.0,bottom
SW4,SW_PUSH,SW_Choc_v2,92.1,-127.225,0.0,bottom
SW5,SW_PUSH,SW_Choc_v2,109.11,-76.225,0.0,bottom
SW6,SW_PUSH,SW_Choc_v2,109.1,-93.225,0.0,bottom
SW7,SW_PUSH,SW_Choc_v2,109.1,-110.215,0.0,bottom
SW8,SW_PUSH,SW_Choc_v2,109.1,-127.225,0.0,bottom
SW9,SW_PUSH,SW_Choc_v2,126.08,-76.225,0.0,bottom
