Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BATT,JST_SH_SM02B-SRSS-TB,65.0,-63.5,0.0,bottom
D1,D,Diode_SMD,73.174975,-38.0,180.0,bottom
D10,D,Diode_SMD,107.471875,-55.0,180.0,bottom
D11,D,Diode_SMD,107.648438,-72.0,180.0,bottom
D12,D,Diode_SMD,107.648438,-89.0,180.0,bottom
D13,D,Diode_SMD,124.648438,-38.0,180.0,bottom
D14,D,Diode_SMD,124.648438,-55.0,180.0,bottom
D15,D,Diode_SMD,124.648438,-72.0,180.0,bottom
D16,D,Diode_SMD,124.648438,-89.0,180.0,bottom
D17,D,Diode_SMD,141.648438,-38.0,180.0,bottom
D18,D,Diode_SMD,141.648438,-55.0,180.0,bottom
D19,D,Diode_SMD,141.648438,-72.0,180.0,bottom
D2,D,Diode_SMD,73.348475,-55.0,180.0,bottom
D20,D,Diode_SMD,141.648438,-89.0,180.0,bottom
D3,D,Diode_SMD,73.548475,-72.0,180.0,bottom
D4,D,Diode_SMD,73.548475,-89.0,180.0,bottom
D5,D,Diode_SMD,90.648438,-38.0,180.0,bottom
D6,D,Diode_SMD,90.648438,-55.0,180.0,bottom
D7,D,Diode_SMD,90.648438,-72.0,180.0,bottom
D8,D,Diode_SMD,90.648438,-89.0,180.0,bottom
D9,D,Diode_SMD,107.648438,-38.0,180.0,bottom
J2,Conn_01x06_Pin,ffc_connector_1_6_0.5mm,54.0,-62.725,0.0,bottom
SW1,SW_PUSH,SW_Choc_v2,75.9,-31.025,180.0,bottom
SW10,SW_PUSH,SW_Choc_v2,109.9,-48.025,180.0,bottom
SW11,SW_PUSH,SW_Choc_v2,109.88,-65.025,180.0,bottom
SW12,SW_PUSH,SW_Choc_v2,109.9,-82.025,180.0,bottom
SW13,SW_PUSH,SW_Choc_v2,126.9,-31.025,180.0,bottom
SW14,SW_PUSH,SW_Choc_v2,126.9,-48.025,180.0,bottom
SW15,SW_PUSH,SW_Choc_v2,126.9,-65.025,180.0,bottom
SW16,SW_PUSH,SW_Choc_v2,126.9,-82.025,180.0,bottom
SW17,SW_PUSH,SW_Choc_v2,143.9,-31.025,180.0,bottom
SW18,SW_PUSH,SW_Choc_v2,143.9,-48.025,180.0,bottom
SW19,SW_PUSH,SW_Choc_v2,143.9,-65.025,180.0,bottom
SW2,SW_PUSH,SW_Choc_v2,75.9,-48.025,180.0,bottom
SW20,SW_PUSH,SW_Choc_v2,143.9,-82.035,180.0,bottom
SW21,SW_SPDT,TGSW_MSK-12D19,46.5,-61.5,270.0,bottom
SW3,SW_PUSH,SW_Choc_v2,75.9,-65.025,180.0,bottom
SW4,SW_PUSH,SW_Choc_v2,75.9,-82.025,180.0,bottom
SW5,SW_PUSH,SW_Choc_v2,92.9,-31.025,180.0,bottom
SW6,SW_PUSH,SW_Choc_v2,92.9,-48.025,180.0,bottom
SW7,SW_PUSH,SW_Choc_v2,92.9,-65.025,180.0,bottom
SW8,SW_PUSH,SW_Choc_v2,92.9,-82.025,180.0,bottom
SW9,SW_PUSH,SW_Choc_v2,109.9,-31.025,180.0,bottom
