Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_SMD,44.024975,-33.575,180.0,top
D10,D,Diode_SMD,78.351525,-40.0,0.0,top
D11,D,Diode_SMD,78.351525,-57.0,0.0,top
D12,D,Diode_SMD,78.351525,-74.0,0.0,top
D13,D,Diode_SMD,95.351525,-23.0,0.0,top
D14,D,Diode_SMD,95.351525,-40.0,0.0,top
D15,D,Diode_SMD,95.351525,-57.0,0.0,top
D16,D,Diode_SMD,95.351525,-73.5,0.0,top
D17,D,Diode_SMD,112.351525,-23.0,0.0,top
D18,D,Diode_SMD,112.351525,-40.0,0.0,top
D19,D,Diode_SMD,112.351525,-56.975,0.0,top
D2,D,Diode_SMD,43.798475,-50.45,180.0,top
D20,D,Diode_SMD,112.351525,-73.5,0.0,top
D21,D,Diode_SMD,128.851525,-57.0,0.0,top
D22,D,Diode_SMD,128.851525,-73.5,0.0,top
D3,D,Diode_SMD,43.449975,-67.775,180.0,top
D4,D,Diode_SMD,43.574975,-84.8,180.0,top
D5,D,Diode_SMD,61.351525,-22.975,0.0,top
D6,D,Diode_SMD,61.351525,-40.0,0.0,top
D7,D,Diode_SMD,61.351525,-57.0,0.0,top
D8,D,Diode_SMD,61.351525,-74.0,0.0,top
D9,D,Diode_SMD,78.351525,-22.975,0.0,top
SW1,SW_PUSH,Choc_Hotswap_1L,45.525,-27.125,180.0,top
SW10,SW_PUSH,Choc_Hotswap_1L,76.475,-46.875,0.0,top
SW11,SW_PUSH,Choc_Hotswap_1L,76.475,-63.875,0.0,top
SW12,SW_PUSH,Choc_Hotswap_1L,76.475,-80.875,0.0,top
SW13,SW_PUSH,Choc_Hotswap_1L,93.475,-29.875,0.0,top
SW14,SW_PUSH,Choc_Hotswap_1L,93.475,-46.875,0.0,top
SW15,SW_PUSH,Choc_Hotswap_1L,93.475,-63.875,0.0,top
SW16,SW_PUSH,Choc_Hotswap_1L,93.465,-80.86,0.0,top
SW17,SW_PUSH,Choc_Hotswap_1L,110.475,-29.875,0.0,top
SW18,SW_PUSH,Choc_Hotswap_1L,110.475,-46.875,0.0,top
SW19,SW_PUSH,Choc_Hotswap_1L,110.475,-63.875,0.0,top
SW2,SW_PUSH,Choc_Hotswap_1L,45.525,-44.125,180.0,top
SW20,SW_PUSH,Choc_Hotswap_1L,110.475,-80.875,0.0,top
SW22,SW_PUSH,Choc_Hotswap_1L,127.475,-80.875,0.0,top
SW24,SW_SPDT,MSK-12C02,139.695,-56.0,-90.0,top
SW3,SW_PUSH,Choc_Hotswap_1L,45.525,-61.1,180.0,top
SW4,SW_PUSH,Choc_Hotswap_1L,45.525,-78.125,180.0,top
SW5,SW_PUSH,Choc_Hotswap_1L,59.485,-29.875,0.0,top
SW6,SW_PUSH,Choc_Hotswap_1L,59.475,-46.875,0.0,top
SW7,SW_PUSH,Choc_Hotswap_1L,59.475,-63.865,0.0,top
SW8,SW_PUSH,Choc_Hotswap_1L,59.475,-80.875,0.0,top
SW9,SW_PUSH,Choc_Hotswap_1L,76.455,-29.875,0.0,top
