Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BATT,JST_S2B-PH-SM4-TB,57.025,-51.0,90.0,top
D1,D,Diode_SMD,73.174975,-38.8,180.0,top
D10,D,Diode_SMD,107.351525,-45.5,0.0,top
D11,D,Diode_SMD,107.351525,-62.5,0.0,top
D12,D,Diode_SMD,107.275025,-79.5,0.0,top
D13,D,Diode_SMD,124.275025,-28.5,0.0,top
D14,D,Diode_SMD,124.351525,-45.5,0.0,top
D15,D,Diode_SMD,124.225025,-62.5,0.0,top
D16,D,Diode_SMD,124.275025,-79.5,0.0,top
D17,D,Diode_SMD,141.351525,-28.5,0.0,top
D18,D,Diode_SMD,141.775025,-45.5,0.0,top
D19,D,Diode_SMD,141.351525,-62.5,0.0,top
D2,D,Diode_SMD,73.348475,-55.1,180.0,top
D20,D,Diode_SMD,141.351525,-79.5,0.0,top
D3,D,Diode_SMD,73.548475,-72.3,180.0,top
D4,D,Diode_SMD,73.548475,-89.1,180.0,top
D5,D,Diode_SMD,90.351525,-28.5,0.0,top
D6,D,Diode_SMD,90.351525,-45.5,0.0,top
D7,D,Diode_SMD,90.351525,-62.5,0.0,top
D8,D,Diode_SMD,90.351525,-79.5,0.0,top
D9,D,Diode_SMD,107.275025,-28.5,0.0,top
J1,~,pmw3610_connector,53.48,-68.9,-90.0,top
SW1,SW_PUSH,Choc_Hotswap_1L,75.025,-32.125,180.0,top
SW10,SW_PUSH,Choc_Hotswap_1L,105.975,-51.875,0.0,top
SW11,SW_PUSH,Choc_Hotswap_1L,105.955,-68.875,0.0,top
SW12,SW_PUSH,Choc_Hotswap_1L,105.975,-85.875,0.0,top
SW13,SW_PUSH,Choc_Hotswap_1L,122.975,-34.875,0.0,top
SW14,SW_PUSH,Choc_Hotswap_1L,122.975,-51.875,0.0,top
SW15,SW_PUSH,Choc_Hotswap_1L,122.975,-68.875,0.0,top
SW16,SW_PUSH,Choc_Hotswap_1L,122.975,-85.875,0.0,top
SW17,SW_PUSH,Choc_Hotswap_1L,139.975,-34.875,0.0,top
SW18,SW_PUSH,Choc_Hotswap_1L,139.975,-51.875,0.0,top
SW19,SW_PUSH,Choc_Hotswap_1L,139.975,-68.875,0.0,top
SW2,SW_PUSH,Choc_Hotswap_1L,75.025,-49.125,180.0,top
SW20,SW_PUSH,Choc_Hotswap_1L,139.975,-85.885,0.0,top
SW21,SW_SPDT,MSK-12C02,45.705,-61.0,90.0,top
SW3,SW_PUSH,Choc_Hotswap_1L,75.025,-66.125,180.0,top
SW4,SW_PUSH,Choc_Hotswap_1L,75.025,-83.125,180.0,top
SW5,SW_PUSH,Choc_Hotswap_1L,88.975,-34.875,0.0,top
SW6,SW_PUSH,Choc_Hotswap_1L,88.975,-51.875,0.0,top
SW7,SW_PUSH,Choc_Hotswap_1L,88.975,-68.875,0.0,top
SW8,SW_PUSH,Choc_Hotswap_1L,88.975,-85.875,0.0,top
SW9,SW_PUSH,Choc_Hotswap_1L,105.975,-34.875,0.0,top
